id;kode_provinsi;nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;bps_kode_kecamatan;bps_nama_kecamatan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;nama_puskesmas;jenis_kelamin;jumlah_bayi;satuan;tahun
45;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIMAHI UTARA;LAKI-LAKI;535;ORANG;2018
46;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIMAHI UTARA;PEREMPUAN;517;ORANG;2018
47;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;PASIRKALIKI;LAKI-LAKI;186;ORANG;2018
48;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;PASIRKALIKI;PEREMPUAN;180;ORANG;2018
49;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIPAGERAN;LAKI-LAKI;473;ORANG;2018
50;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIPAGERAN;PEREMPUAN;458;ORANG;2018
51;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CITEUREUP;LAKI-LAKI;380;ORANG;2018
52;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CITEUREUP;PEREMPUAN;367;ORANG;2018
53;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIMAHI SELATAN;LAKI-LAKI;344;ORANG;2019
54;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIMAHI SELATAN;PEREMPUAN;334;ORANG;2019
55;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;LEUWIGAJAH;LAKI-LAKI;609;ORANG;2019
56;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;LEUWIGAJAH;PEREMPUAN;589;ORANG;2019
57;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEBER;LAKI-LAKI;379;ORANG;2019
58;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEBER;PEREMPUAN;367;ORANG;2019
59;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEUREUM;LAKI-LAKI;277;ORANG;2019
60;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;CIBEUREUM;PEREMPUAN;268;ORANG;2019
61;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG ASIH;LAKI-LAKI;444;ORANG;2019
62;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG ASIH;PEREMPUAN;430;ORANG;2019
63;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG TENGAH;LAKI-LAKI;259;ORANG;2019
64;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG TENGAH;PEREMPUAN;251;ORANG;2019
65;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIMAHI TENGAH;LAKI-LAKI;290;ORANG;2019
66;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIMAHI TENGAH;PEREMPUAN;281;ORANG;2019
67;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIGUGUR TENGAH;LAKI-LAKI;672;ORANG;2019
68;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIGUGUR TENGAH;PEREMPUAN;650;ORANG;2019
